Day,Time,Latitude,Longitude,Temperature
0,102,41.96636523,12.45273171,3.745402672
0,4013,41.95178084,12.45176041,3.682830868
0,12802,41.93256578,12.41568841,3.873111526
0,21068,41.96099192,12.39148541,3.7259097110000003
0,6581,41.94164589,12.424837199999999,3.593389215
0,16840,41.96257397,12.45273753,3.836198894
0,11397,41.92715814,12.43846434,4.021053906000001
0,23621,41.93510822,12.42666651,7.697620779
0,29209,41.9462722,12.4519132,8.470836505
0,31672,41.97109044,12.43451307,8.154006797000001
0,37917,41.93719792,12.44106561,6.965507395
0,39992,41.94784681,12.4151513,8.493680723999999
0,40695,41.93834606,12.43385601,8.30459037
0,26002,41.93884519,12.42416105,9.309329896
0,36901,41.94604742,12.45172785,8.407610623
0,22588,41.93523421,12.42699668,6.850504507999999
0,42371,41.94461308,12.45258545,9.731055254
0,44389,41.92818729,12.38111249,11.43900884
0,47142,41.92663952,12.42660785,11.06353454
0,47744,41.95994451,12.45266585,10.42207328
0,50405,41.929425,12.42748167,10.89820836
0,50501,41.94126933,12.44300606,11.24982829
0,56151,41.92666803,12.42702655,10.79380617
0,57749,41.92963667,12.41786333,12.14085071
0,61325,41.93268823,12.41569452,10.24577747
0,64700,41.94555188,12.45151203,11.55273162
0,51066,41.935061499999996,12.42665967,13.48602377
0,52349,41.93498104,12.443022599999999,14.60405626
0,54706,41.94675044,12.452317599999999,13.50651089
0,56504,41.93663031,12.42808812,12.97908878
0,59281,41.92646833,12.42657833,10.19761075
0,46361,41.94393195,12.45017331,10.06474284
0,56734,41.92684831,12.44675565,11.97856849
0,57185,41.92772646,12.44641408,11.22078775
0,59855,41.92921306,12.42733215,10.01759964
0,60444,41.92663176,12.44740123,10.88470933
0,61573,41.93588167,12.36619167,12.19662337
0,62121,41.92667501,12.44733216,11.88484799
0,65748,41.92696451,12.44714817,7.942049855
0,68998,41.9293689,12.42745408,7.7435181570000005
0,71905,41.93303258,12.42624638,7.803228107000001
0,74588,41.943676399999994,12.39019885,8.615424278999999
0,76660,41.93339167,12.44030167,7.969884536
0,77059,41.92754293,12.44668554,8.150627477999999
0,78841,41.96719833,12.43956167,7.515570247
0,82722,41.94688562,12.45243729,7.737336439
0,86390,41.96285792,12.40462931,8.048912839
0,72079,41.92637438,12.42649776,5.42707071
0,73154,41.95135383,12.44751002,7.189895187
0,79229,41.92634889,12.37565917,8.45301956
0,83752,41.92674995,12.42661166,7.5648407529999995
0,67069,41.94091833,12.42254167,8.689889187
0,75505,41.927300200000005,12.44676663,7.627011888999999
0,81109,41.92878591,12.38110267,6.390387228
0,21587,41.93525214,12.53506187,5.775797775
0,14619,41.95183118,12.51613796,6.237899884
0,10895,41.92714316,12.46123317,5.38214464
0,12067,41.92757066,12.48623458,5.489944024
0,2593,41.92640877,12.50550743,5.582337617
0,935,41.93295331,12.51225137,5.979512255
0,20465,41.92740777,12.51570252,5.89962844
0,2350,41.92665819,12.50574134,6.042723948
0,19351,41.92659563,12.52028585,5.859762344
0,2690,41.92842185,12.50902049,5.950157537999999
0,7293,41.93411749,12.46232189,6.484105477000001
0,6668,41.92826462,12.47365445,5.649667566000001
0,4599,41.92795744,12.47339061,5.950512925
0,5598,41.92769805,12.52811879,5.974883633999999
0,218,41.94694403,12.46935061,5.451215137999999
0,2000,41.92669346,12.52382213,5.388151177
0,10036,41.92654365,12.52801029,6.624981994
0,4006,41.92732,12.45815,5.58720704
0,2357,41.92707463,12.48612484,4.807450075
0,16016,41.92707685,12.45828549,4.81242406
0,1474,41.92651491,12.50724772,7.438513689
0,6158,41.92673015,12.53346752,5.6006862879999995
0,3968,41.92679703,12.52383087,6.695183442
0,11265,41.93147837,12.46011766,5.304500308
0,20292,41.957805,12.5352084,5.952132286
0,7399,41.93307524,12.52068842,6.961168198999999
0,4492,41.92653668,12.52019459,5.895868973
