index,Day,Time,Latitude,Longitude,Temperature
0,0,102,41.96636523,12.45273171,3.745402672
1,0,4013,41.95178084,12.45176041,3.682830868
2,0,12802,41.93256578,12.41568841,3.873111526
3,0,21068,41.96099192,12.39148541,3.725909711
4,0,6581,41.94164589,12.4248372,3.593389215
5,0,16840,41.96257397,12.45273753,3.836198894
6,0,11397,41.92715814,12.43846434,4.0210539060000015
7,0,23621,41.93510822,12.42666651,7.697620779
8,0,29209,41.9462722,12.4519132,8.470836505
9,0,31672,41.97109044,12.43451307,8.154006797000001
10,0,37917,41.93719792,12.44106561,6.965507395
11,0,39992,41.94784681,12.4151513,8.493680723999999
12,0,40695,41.93834606,12.43385601,8.30459037
13,0,26002,41.93884519,12.42416105,9.309329896
14,0,36901,41.94604742,12.45172785,8.407610623
15,0,22588,41.93523421,12.42699668,6.850504507999999
16,0,42371,41.94461308,12.45258545,9.731055254
17,0,44389,41.92818729,12.38111249,11.43900884
18,0,47142,41.92663952,12.42660785,-9.0
19,0,47744,41.95994451,12.45266585,10.42207328
20,0,50405,41.929425,12.42748167,10.89820836
21,0,50501,41.94126933,12.44300606,11.24982829
22,0,56151,41.92666803,12.42702655,10.79380617
23,0,57749,41.92963667,12.41786333,12.14085071
24,0,61325,41.93268823,12.41569452,10.24577747
25,0,64700,41.94555188,12.45151203,-6.0
26,0,51066,41.9350615,12.42665967,13.48602377
27,0,52349,41.93498104,12.4430226,14.60405626
28,0,54706,41.94675044,12.4523176,13.50651089
29,0,56504,41.93663031,12.42808812,12.97908878
30,0,59281,41.92646833,12.42657833,10.19761075
31,0,46361,41.94393195,12.45017331,-8.0
32,0,56734,41.92684831,12.44675565,11.97856849
33,0,57185,41.92772646,12.44641408,11.22078775
34,0,59855,41.92921306,12.42733215,10.01759964
35,0,60444,41.92663176,12.44740123,10.88470933
36,0,61573,41.93588167,12.36619167,12.19662337
37,0,62121,41.92667501,12.44733216,11.88484799
38,0,65748,41.92696451,12.44714817,7.942049855
39,0,68998,41.9293689,12.42745408,7.743518157
40,0,71905,41.93303258,12.42624638,7.803228107000001
41,0,74588,41.9436764,12.39019885,8.615424278999999
42,0,76660,41.93339167,12.44030167,7.969884536
43,0,77059,41.92754293,12.44668554,8.150627477999999
44,0,78841,41.96719833,12.43956167,7.515570247
45,0,82722,41.94688562,12.45243729,7.737336439
46,0,86390,41.96285792,12.40462931,8.048912839
47,0,72079,41.92637438,12.42649776,5.42707071
48,0,73154,41.95135383,12.44751002,7.189895187
49,0,79229,41.92634889,12.37565917,68.0
50,0,83752,41.92674995,12.42661166,7.564840752999999
51,0,67069,41.94091833,12.42254167,8.689889187
52,0,75505,41.92730020000001,12.44676663,7.6270118889999985
53,0,81109,41.92878591,12.38110267,-1.0
54,0,21587,41.93525214,12.53506187,5.775797775
